model,prompt,Alignment,Geometry,Texture,Overall
dreamfusion,A model airplane with spinning propellers,5.736842105,6.888888889,5.833333333,5.904761905
dreamfusion,A porcelain vase with dragon motifs,8.833333333,7.947368421,7.55,8.1
dreamfusion,A soccer ball signed by players,6.3,7.235294118,6.176470588,6.368421053
dreamfusion,A steel hammer with a rubber grip,8.142857143,7.125,6.5,7.263157895
dreamfusion,A stone castle with a drawbridge,5.25,5,5,5.052631579
dreamfusion,A straw hat with a blue band,7.388888889,6.857142857,6.470588235,7
dreamfusion,A teddy bear holding a heart,1.368421053,1.368421053,1.388888889,1.142857143
dreamfusion,A wooden chair with a woven seat,6.380952381,6.8125,5.95,6.526315789
dreamfusion,A headphone with cushioned ear pads,3.736842105,3.888888889,3.473684211,3.6
dreamfusion,A white sneaker with blue stripes,6.526315789,6.777777778,5.944444444,6.19047619
dreamfusion,"A bronze goblet encrusted with rubies, with swirling engravings of dragons coiling up its stem",3.111111111,2.571428571,2.058823529,2.526315789
dreamfusion,"A black bat with luminous red eyes, outstretched wings, and a detailed claw with subtle ridges",3.631578947,2.944444444,3.2,3.142857143
dreamfusion,"A square table with intricate carvings along the legs, a scratched surface, and a missing corner",5.789473684,7.181818182,5.571428571,6.19047619
dreamfusion,"A golden lamp with an intricate bird and flower motif, and a glossy, amber-colored glass shade",3.333333333,3.476190476,2.764705882,3.210526316
dreamfusion,"A wooden chair with a broken leg, a cushioned seat, and carved spirals on the arms",5.631578947,5.666666667,5.05,5.571428571
dreamfusion,A porcelain teapot with a gold-trimmed spout and a painted phoenix spiraling around its surface,5.368421053,5.181818182,4.333333333,4.666666667
dreamfusion,"A round clock with a cracked face, golden hands, and worn Roman numerals along the edges",1.105263158,1.055555556,1.15,1
dreamfusion,"A potted succulent with plump, fleshy, blue-green leaves edged in red and planted in a terracotta pot",8,7.894736842,7.15,7.6
dreamfusion,"A gilded picture frame adorned with ivy leaves, enclosing an oil painting of a serene landscape",0.611111111,0.619047619,0.882352941,0.842105263
dreamfusion,"A blue hat with a wide brim, a finely stitched edge, and a silver feather pinned delicately to one side",4.947368421,4.842105263,4.666666667,4.80952381
dreamfusion,"A blue jacket with silver buttons, fur lining on the collar, and a tear on the right sleeve",4.894736842,4.166666667,4.277777778,4.285714286
dreamfusion,"A yellow pencil with a polished finish, a sharply defined lead tip, and a vibrant red eraser",5.052631579,4.722222222,4.368421053,4.65
dreamfusion,"A glass bottle with a chipped neck, intricate patterns swirling along the sides, and a faded label",5.705882353,5.052631579,4.1875,5.105263158
dreamfusion,"A green cactus with twisted, gnarled branches, white spines, and tiny red flowers growing at the top",7.631578947,7.166666667,6.947368421,7.5
dreamfusion,"A black cat with white paws, one torn ear, and piercing green eyes, sitting with its tail curled",4.277777778,3.894736842,3.35,3.45
dreamfusion,"A ceramic vase with swirling patterns etched into the surface, a chipped rim, and a long, narrow neck",5.736842105,6.388888889,5.157894737,5.8
dreamfusion,"A white dove with one bent wing, a scarred beak, and a single, grey feather among its tail",5.888888889,6.095238095,5.882352941,5.789473684
dreamfusion,"A bronze statue of a warrior with one arm raised, and a weathered, cracked base",4.631578947,2.944444444,4,3.428571429
dreamfusion,"A wooden cabin with a finely crafted stone chimney, detailed log walls, and a delicately carved wooden door",6.7,5.352941176,5.588235294,5.789473684
dreamfusion,"A golden crown with missing jewels, a slightly bent band, and intricate scrollwork along the edges",3.9,3.705882353,3.411764706,3.789473684
dreamfusion,A cactus blooming flowers made of glowing embers,2.947368421,2.722222222,2.736842105,2.6
dreamfusion,"A candleholder resembling a twisted, gnarled tree branch",4.894736842,4.272727273,4.380952381,4.333333333
dreamfusion,A castle built entirely from interlocking giant seashells,4.75,4.411764706,4.235294118,4.263157895
dreamfusion,"A chair made from intertwined vines, leaves still attached",1.833333333,0.947368421,1.25,1.1
dreamfusion,A flower that blooms metallic petals shaped like butterflies,1.263157895,1.166666667,1.277777778,1.285714286
dreamfusion,"A frog wearing a tailored shirt with tiny gold buttons, a red bow tie",5.631578947,5.636363636,4.904761905,5.238095238
dreamfusion,A headphone with ear cups shaped like intricate seashells,0.833333333,0.80952381,0.882352941,0.894736842
dreamfusion,"A hippo explorer dressed in a khaki outfit, with binoculars slung around its neck",1.7,1.235294118,1.411764706,1.368421053
dreamfusion,"A house made from oversized mushrooms, walls and roof",7.55,7,6.823529412,7.105263158
dreamfusion,"A house shaped like a giant teapot, complete with handle and spout",4.894736842,5.055555556,4.7,4.380952381
dreamfusion,A hummingbird with wings made of shimmering glass,2.421052632,1.611111111,2.2,2.095238095
dreamfusion,"A key carved from bone, adorned with tiny sculpted figures",2,1.578947368,2.111111111,1.761904762
dreamfusion,"A lamp in the form of a tree, branches holding lights",1.368421053,1.166666667,1.421052632,1.3
dreamfusion,A mushroom with a cap resembling a stained glass window,5.8,6.411764706,5.235294118,5.526315789
dreamfusion,A paintbrush with bristles made of tiny flower petals,3.578947368,3.222222222,3.45,3.285714286
dreamfusion,"A rabbit with butterfly wings instead of ears, patterns vivid",4.210526316,3.666666667,4,3.857142857
dreamfusion,"A shoe designed to look like fish, scales detailed and shiny",5.571428571,5.1875,4.7,4.894736842
dreamfusion,A skyscraper constructed from stacked books of varying sizes,7.157894737,6.473684211,5.888888889,6.571428571
dreamfusion,A sunflower with a center that is a functioning clock face,0.444444444,0.523809524,0.411764706,0.631578947
dreamfusion,An earring designed as miniature chandeliers adorned with crystals,2.470588235,1.947368421,2.75,2.210526316
dreamfusion,A black camera and a metal tripod,7.526315789,5.5,5.947368421,6.15
dreamfusion,A blue umbrella and a silver key,3.45,3.411764706,3.823529412,3.315789474
dreamfusion,A bronze helmet and a golden crown,2.736842105,2.555555556,3.05,2.666666667
dreamfusion,A photo frame and a furry teddy bear,1.526315789,0.888888889,1.1,1.19047619
dreamfusion,A wooden house and a coconut tree,0.777777778,0.714285714,0.823529412,0.842105263
dreamfusion,A wooden easel and a canvas painting,5.842105263,5.222222222,5.105263158,5.3
dreamfusion,A green apple and a bronze coin,6.5,5,4.2,4.75
dreamfusion,A green cactus and a glass bottle,5.117647059,6,6.125,5.473684211
dreamfusion,A leather wallet and a cotton hat,4.35,5.352941176,5.588235294,4.684210526
dreamfusion,A metal pen and a plastic ruler,2.947368421,3.454545455,2.333333333,2.380952381
dreamfusion,A plastic spoon and a ceramic cup,1.052631579,1,0.947368421,1
dreamfusion,A yellow lemon and a square table,4.523809524,5.8125,5.75,5.052631579
dreamfusion,A red chair and a yellow tennis ball,8.105263158,7.363636364,6.380952381,7.142857143
dreamfusion,A round clock and a wooden shelf,1.315789474,1.555555556,1.3,1.19047619
dreamfusion,A silver teapot and a golden cup,3.882352941,4.315789474,3.8125,3.578947368
dreamfusion,A white flower and a green vase,5.631578947,4.772727273,4.714285714,4.761904762
dreamfusion,A gray rabbit and a brown squirrel,1.263157895,1.555555556,1.684210526,1.4
dreamfusion,A wooden bench and a bronze statue,3.047619048,2.9375,2.4,2.789473684
dreamfusion,A metal sword and a bronze shield,1.333333333,1.875,1.95,1.684210526
dreamfusion,A wooden table and a red candle,3.761904762,4.125,3.7,3.736842105
dreamfusion,A polished silver bell resting on a wooden stand,6.684210526,6.5,5.611111111,6.238095238
dreamfusion,A white orchid in a ceramic vase,0.631578947,0.388888889,0.833333333,0.714285714
dreamfusion,A white candle in an iron holder,3.444444444,3.789473684,3.75,3.05
dreamfusion,A set of dice beside a deck of cards,3.65,4.470588235,4.235294118,3.842105263
dreamfusion,A ripe strawberry on a delicious cake,1.947368421,2,2.111111111,2.095238095
dreamfusion,A pink backpack on a yellow kayak,6.722222222,5.857142857,5.117647059,5.789473684
dreamfusion,A rubber duck next to a wooden comb,4.722222222,6.368421053,6.25,5.1
dreamfusion,A swallow on a red brick square chimney,6.368421053,5.157894737,4.944444444,5.428571429
dreamfusion,"A green plant on a rectangular, wooden chair",6.473684211,5.409090909,5.047619048,5.523809524
dreamfusion,A handwoven basket filled with a ripe peach,6,5.5,5,5.285714286
dreamfusion,A pair of black shoes beside a white hat,8.315789474,6.722222222,6.5,7.428571429
dreamfusion,A blue butterfly perched on a yellow flower,6.473684211,4.833333333,4.894736842,5.45
dreamfusion,A guitar leaning against a wooden chair,5.631578947,3.578947368,3.833333333,4.285714286
dreamfusion,A brass key hanging on a metal hook,4.578947368,4.166666667,4.3,4.333333333
dreamfusion,A glass teapot next to a porcelain cup,0.888888889,1.026315789,1.075,0.9
dreamfusion,A silk scarf draped over a wooden hanger,4.80952381,5.0625,4.6,4.578947368
dreamfusion,A wooden crate holding a single red apple,3.315789474,2.777777778,3.166666667,3.047619048
dreamfusion,A small wooden ship inside a glass bottle,2.380952381,2.3125,2.2,2.052631579
dreamfusion,A small cactus inside a clay pot,8.263157895,7.666666667,6.631578947,7.55
dreamfusion,A black hat hanging on a brass hook,7.111111111,6.761904762,6.764705882,6.736842105
dreamfusion,A penguin is waddling with a fish in its beak,4.764705882,5.052631579,5.375,4.842105263
dreamfusion,A dog is barking at a cat with its tail wagging,3.45,3.705882353,3.647058824,3.210526316
dreamfusion,A dog is licking an ice cream cone with its tail wagging,6.714285714,5.625,5.65,5.947368421
dreamfusion,A violinist in a black suit is playing a violin while standing on one foot,6.105263158,4.722222222,4.947368421,5.1
dreamfusion,"A cyan crab is holding a sharp, conical shell in its claw",1.85,1.647058824,1.764705882,1.578947368
dreamfusion,A yellow truck is crashing into a wooden house,3.368421053,2.590909091,2.714285714,2.666666667
dreamfusion,A man holding a book next to a tall bookshelf,4.842105263,4.944444444,4.777777778,4.857142857
dreamfusion,"A turtle is crawling to a circular, white shell",0.842105263,0.777777778,0.7,0.857142857
dreamfusion,A brown dog is chewing a high-heeled shoe,0.368421053,0.333333333,0.611111111,0.333333333
dreamfusion,A panda is chewing on bamboo while sitting on its hind legs,5.105263158,4.318181818,4.523809524,4.523809524
dreamfusion,A knight is polishing a shield while seated on a stool,6.526315789,4.666666667,4.95,5.047619048
dreamfusion,A dolphin is pushing a ball with its nose while swimming,7.5,6.473684211,6.25,6.45
dreamfusion,A bird is preening its feathers with its beak,1.75,1.941176471,1.705882353,1.789473684
dreamfusion,A duck is chasing a yellow ball with its wings flapping,5.941176471,5.473684211,5.5,5.105263158
dreamfusion,A knight is jousting with a lance while riding a white horse,6.142857143,4.75,5.1,5.263157895
dreamfusion,"A cat is playing with a ball of yarn, unraveling it with its paws",5.473684211,3.722222222,4.111111111,4.380952381
dreamfusion,A pirate is digging for treasure with a rusty shovel,0.5,0.444444444,0.775,0.619047619
dreamfusion,A boy is kicking a soccer ball with his foot raised,6.777777778,5.421052632,4.95,5.35
dreamfusion,A black cat is knocking over a glass with its paw extended,3.105263158,2.555555556,2.9,2.714285714
dreamfusion,A bat is hanging upside down from a branch with its wings folded,4.421052632,3.777777778,3.888888889,3.904761905
dreamfusion,A bear astronaut is planting a flag with a paw print,4.380952381,3.5,3.1,3.631578947
dreamfusion,A crowned koala is inspecting a mystical golden staff,2.789473684,2,2.5,2.380952381
dreamfusion,A fox magician is pulling a rabbit from a hat,4.578947368,3.863636364,4.333333333,4.047619048
dreamfusion,A giant tortoise is peacefully resting while a garden of mushrooms grows on its shell,5.095238095,4.625,3.8,4.421052632
dreamfusion,A lion rider is riding a motorcycle,6.842105263,4.055555556,5.166666667,5
dreamfusion,A mermaid is holding a white conch shell,7.473684211,6.045454545,5.333333333,6.095238095
dreamfusion,A mouse pirate is guarding a tiny treasure chest,0.684210526,0.666666667,0.578947368,0.5
dreamfusion,A panda detective is using a magnifying glass to examine an ancient scroll,5.4,5.176470588,6.117647059,5.421052632
dreamfusion,A parrot wearing a crown is sitting on a jeweled throne,5.095238095,4.25,3.9,4.368421053
dreamfusion,A penguin in a tuxedo is conducting an orchestra with a baton,5.235294118,4.789473684,5.1875,4.473684211
dreamfusion,A phoenix with flaming wings is carrying a silver lantern,1.526315789,1.368421053,1.444444444,1.476190476
dreamfusion,A rabbit pirate is holding a treasure map with a carrot symbol,4.105263158,2.631578947,3,3.047619048
dreamfusion,A rabbit with a top hat is balancing on a golden egg,6.3,6.882352941,6.705882353,6.578947368
dreamfusion,A raccoon detective is studying a map under a magnifying glass,4.105263158,2.888888889,3.333333333,3.333333333
dreamfusion,A raccoon with wings is casting a spell with a magic wand,4.380952381,3.6875,3.9,3.894736842
dreamfusion,A robot butler is holding a tray with a crystal goblet,4.941176471,4.157894737,4.125,4.105263158
dreamfusion,A shark with a crown is holding a golden trident,5.052631579,4.666666667,4.842105263,4.7
dreamfusion,A skeleton knight is polishing his golden sword,2.105263158,1.263157895,1.611111111,1.571428571
dreamfusion,A monkey wizard is riding a flying broom and eating a banana,4.142857143,2.6875,3.25,3.157894737
dreamfusion,A dog wearing backpack is walking on a rainbow,3.526315789,2.444444444,2.95,2.761904762
magic3d,A striped zebra,6.5,5.666666667,5.294117647,5.631578947
magic3d,A green pepper,8.894736842,8.727272727,7.666666667,8.428571429
magic3d,A grey mouse,4.235294118,3.736842105,2.875,3.263157895
magic3d,A blue vase,8,7.136363636,5.857142857,6.666666667
magic3d,A brown bear,6.578947368,4.444444444,4.789473684,5
magic3d,A red cup,5.947368421,5.210526316,4.833333333,5.285714286
magic3d,A round stool,8.578947368,8.157894737,6.555555556,7.619047619
magic3d,A wooden boat,6.833333333,5.842105263,5.25,5.65
magic3d,A white helmet,3.631578947,3.888888889,2.842105263,3.2
magic3d,A green umbrella,2.5,1.210526316,2.5,1.45
magic3d,A yellow hat,7.736842105,6.5,5.789473684,6.8
magic3d,A wooden bench,7.833333333,6.684210526,6.5,6.75
magic3d,A brown horse,5,3.142857143,4.352941176,3.631578947
magic3d,A symmetrical arch,0.352941176,0.736842105,0.875,0.578947368
magic3d,A glass bottle,7.80952381,7.5625,6.65,7.421052632
magic3d,A white rabbit,7.631578947,6.166666667,6,6.619047619
magic3d,A red bus,4.142857143,3.125,3.05,3.157894737
magic3d,A blue jacket,4.944444444,4.238095238,4.235294118,4.263157895
magic3d,A delicious hamburger,8,6.545454545,6.857142857,7.095238095
magic3d,A canned Coke,7.5,6.470588235,6.352941176,6.631578947
magic3d,A badge shaped like a shield,2.529411765,2.631578947,2.1875,2.157894737
magic3d,A black umbrella with a curved handle,5.052631579,3.105263158,4.055555556,3.80952381
magic3d,A bookmark with a tassel,4.289473684,3.605263158,3.361111111,3.642857143
magic3d,A cactus with a blooming flower,7.578947368,5.631578947,5.722222222,6.095238095
magic3d,A candleholder made of wrought iron,6.285714286,5.0625,4.95,5.315789474
magic3d,A chess piece carved from ivory,7.842105263,8,7.105263158,7.85
magic3d,A coffee mug with a chipped rim,5.473684211,5.545454545,4.333333333,5.095238095
magic3d,A red rose with a thorny stem,4.5,4.285714286,4.176470588,4.263157895
magic3d,A lamp with a fabric shade,4.428571429,4.25,3.75,4.263157895
magic3d,A lipstick in a golden case,5.157894737,3.772727273,3.761904762,3.904761905
magic3d,A model airplane with spinning propellers,6.210526316,4.222222222,3.7,4.571428571
magic3d,A porcelain vase with dragon motifs,8.631578947,7.909090909,7.80952381,8.047619048
magic3d,A soccer ball signed by players,5.055555556,4.952380952,3.823529412,4.789473684
magic3d,A steel hammer with a rubber grip,5.947368421,4.5,4.666666667,4.333333333
magic3d,A stone castle with a drawbridge,6.526315789,6.157894737,6.222222222,6.380952381
magic3d,A straw hat with a blue band,7.944444444,7.238095238,6.882352941,7.473684211
magic3d,A teddy bear holding a heart,1.058823529,1,1.5,0.789473684
magic3d,A wooden chair with a woven seat,6.947368421,6.736842105,5.444444444,6.238095238
magic3d,A headphone with cushioned ear pads,5.263157895,3.454545455,3.142857143,3.857142857
magic3d,A white sneaker with blue stripes,5.941176471,5.052631579,6.3125,4.947368421
magic3d,"A bronze goblet encrusted with rubies, with swirling engravings of dragons coiling up its stem",6.526315789,5.894736842,5.722222222,6.142857143
magic3d,"A black bat with luminous red eyes, outstretched wings, and a detailed claw with subtle ridges",6.052631579,5.388888889,5.166666667,4.952380952
magic3d,"A square table with intricate carvings along the legs, a scratched surface, and a missing corner",5.45,7.470588235,6.647058824,6.315789474
magic3d,"A golden lamp with an intricate bird and flower motif, and a glossy, amber-colored glass shade",6.421052632,5.863636364,5.904761905,6.047619048
magic3d,"A wooden chair with a broken leg, a cushioned seat, and carved spirals on the arms",5.210526316,4.722222222,4.5,4.761904762
magic3d,A porcelain teapot with a gold-trimmed spout and a painted phoenix spiraling around its surface,6.611111111,5.157894737,5,5.2
magic3d,"A round clock with a cracked face, golden hands, and worn Roman numerals along the edges",1.35,1.411764706,1.294117647,1.157894737
magic3d,"A potted succulent with plump, fleshy, blue-green leaves edged in red and planted in a terracotta pot",8.368421053,7.5,7.263157895,7.85
magic3d,"A gilded picture frame adorned with ivy leaves, enclosing an oil painting of a serene landscape",0.444444444,0.631578947,0.65,0.5
magic3d,"A blue hat with a wide brim, a finely stitched edge, and a silver feather pinned delicately to one side",7.222222222,6.857142857,6.764705882,7
magic3d,"A blue jacket with silver buttons, fur lining on the collar, and a tear on the right sleeve",7,6.894736842,6.75,7.052631579
magic3d,"A yellow pencil with a polished finish, a sharply defined lead tip, and a vibrant red eraser",5.058823529,4.368421053,4,4.473684211
magic3d,"A glass bottle with a chipped neck, intricate patterns swirling along the sides, and a faded label",6.095238095,6.0625,4.95,5.736842105
magic3d,"A green cactus with twisted, gnarled branches, white spines, and tiny red flowers growing at the top",7.736842105,7.611111111,7.157894737,7.35
magic3d,"A black cat with white paws, one torn ear, and piercing green eyes, sitting with its tail curled",2.631578947,2.333333333,1.888888889,2.428571429
magic3d,"A ceramic vase with swirling patterns etched into the surface, a chipped rim, and a long, narrow neck",5.684210526,6.636363636,5.047619048,5.80952381
magic3d,"A white dove with one bent wing, a scarred beak, and a single, grey feather among its tail",6,5.555555556,5.3,5.380952381
magic3d,"A bronze statue of a warrior with one arm raised, and a weathered, cracked base",2.428571429,2.0625,2.4,2
magic3d,"A wooden cabin with a finely crafted stone chimney, detailed log walls, and a delicately carved wooden door",7.052631579,6.055555556,5.888888889,6.333333333
magic3d,"A golden crown with missing jewels, a slightly bent band, and intricate scrollwork along the edges",4.631578947,4.611111111,3.95,4.666666667
magic3d,A cactus blooming flowers made of glowing embers,2.35,2.117647059,2.352941176,2.052631579
magic3d,"A candleholder resembling a twisted, gnarled tree branch",7.421052632,6.388888889,5.684210526,6.7
magic3d,A castle built entirely from interlocking giant seashells,6.222222222,6.047619048,5.470588235,5.789473684
magic3d,"A chair made from intertwined vines, leaves still attached",6.526315789,6.166666667,5.5,6.19047619
magic3d,A flower that blooms metallic petals shaped like butterflies,7.210526316,7.5,7.285714286,7.142857143
magic3d,"A frog wearing a tailored shirt with tiny gold buttons, a red bow tie",6.833333333,5.947368421,5.95,5.85
magic3d,A headphone with ear cups shaped like intricate seashells,5.421052632,5.555555556,5.052631579,5.4
magic3d,"A hippo explorer dressed in a khaki outfit, with binoculars slung around its neck",5.894736842,6.210526316,5.444444444,5.857142857
magic3d,"A house made from oversized mushrooms, walls and roof",7.684210526,6.909090909,6.714285714,6.857142857
magic3d,"A house shaped like a giant teapot, complete with handle and spout",4.421052632,4.5,3.444444444,3.761904762
magic3d,A hummingbird with wings made of shimmering glass,5.294117647,5.157894737,4.1875,4.684210526
magic3d,"A key carved from bone, adorned with tiny sculpted figures",2.555555556,2.095238095,2.176470588,2.315789474
magic3d,"A lamp in the form of a tree, branches holding lights",6.380952381,5.875,5.15,5.736842105
magic3d,A mushroom with a cap resembling a stained glass window,6.842105263,5.684210526,5.666666667,6
magic3d,A paintbrush with bristles made of tiny flower petals,5.578947368,5.363636364,4.523809524,5.047619048
magic3d,"A rabbit with butterfly wings instead of ears, patterns vivid",5,5.764705882,4.764705882,4.789473684
magic3d,"A shoe designed to look like fish, scales detailed and shiny",3.882352941,3.684210526,4.5625,3.315789474
magic3d,A skyscraper constructed from stacked books of varying sizes,7.1,6.823529412,6.882352941,6.736842105
magic3d,A sunflower with a center that is a functioning clock face,2.111111111,2.285714286,2.176470588,2.210526316
magic3d,An earring designed as miniature chandeliers adorned with crystals,2.894736842,2.333333333,2.578947368,2.55
magic3d,A black camera and a metal tripod,6.210526316,6.222222222,4.85,5.952380952
magic3d,A blue umbrella and a silver key,2.222222222,2.19047619,2,2
magic3d,A bronze helmet and a golden crown,3.789473684,3.736842105,4.388888889,3.619047619
magic3d,A photo frame and a furry teddy bear,0.333333333,0.6875,0.9,0.421052632
magic3d,A wooden house and a coconut tree,3.052631579,3.5,3.3,3.142857143
magic3d,A wooden easel and a canvas painting,5.578947368,5.277777778,4.35,5
magic3d,A green apple and a bronze coin,4.571428571,5,5.35,4.789473684
magic3d,A green cactus and a glass bottle,5.9,7.882352941,7.588235294,6.947368421
magic3d,A leather wallet and a cotton hat,4.368421053,5.555555556,5.333333333,4.666666667
magic3d,A metal pen and a plastic ruler,2.777777778,3.105263158,2.4,2.25
magic3d,A plastic spoon and a ceramic cup,3.764705882,3.736842105,3.9375,3.578947368
magic3d,A yellow lemon and a square table,4.333333333,5.947368421,5.2,4.55
magic3d,A red chair and a yellow tennis ball,5.647058824,4.736842105,4.9375,4.894736842
magic3d,A round clock and a wooden shelf,1,1.473684211,1.111111111,1
magic3d,A silver teapot and a golden cup,4.210526316,3.136363636,3.476190476,3.142857143
magic3d,A white flower and a green vase,5.210526316,4.111111111,3.578947368,4.25
magic3d,A gray rabbit and a brown squirrel,4.473684211,4.5,5.05,4.476190476
magic3d,A wooden bench and a bronze statue,3.631578947,3.333333333,3.611111111,3.476190476
magic3d,A metal sword and a bronze shield,6.888888889,5.421052632,5.7,5.7
magic3d,A wooden table and a red candle,4.35,5.235294118,5.294117647,4.631578947
magic3d,A polished silver bell resting on a wooden stand,7,6.777777778,6.388888889,6.476190476
magic3d,A white orchid in a ceramic vase,3.315789474,2.611111111,2.85,2.476190476
magic3d,A white candle in an iron holder,5.944444444,5.095238095,4.470588235,5
magic3d,A set of dice beside a deck of cards,4.65,3.705882353,4.117647059,3.421052632
magic3d,A ripe strawberry on a delicious cake,3.894736842,4.833333333,4.105263158,4.05
magic3d,A pink backpack on a yellow kayak,7.421052632,6.5,6.1,6.761904762
magic3d,A rubber duck next to a wooden comb,7.526315789,6.157894737,5.888888889,6.428571429
magic3d,A swallow on a red brick square chimney,3.684210526,2.277777778,2.8,2.904761905
magic3d,"A green plant on a rectangular, wooden chair",8.333333333,7.736842105,6.55,7.55
magic3d,A handwoven basket filled with a ripe peach,6.777777778,6.421052632,5.85,6.35
magic3d,A pair of black shoes beside a white hat,4.4,5.647058824,5.705882353,4.842105263
magic3d,A blue butterfly perched on a yellow flower,5.611111111,4.714285714,4.882352941,4.947368421
magic3d,A guitar leaning against a wooden chair,3.823529412,3.315789474,3.4375,3.157894737
magic3d,A brass key hanging on a metal hook,5.157894737,4.055555556,4.277777778,3.952380952
magic3d,A glass teapot next to a porcelain cup,3.952380952,4.5,3.75,3.789473684
magic3d,A silk scarf draped over a wooden hanger,7.684210526,6.526315789,6.777777778,6.523809524
magic3d,A wooden crate holding a single red apple,4.277777778,5.421052632,5.15,4.45
magic3d,A small wooden ship inside a glass bottle,5.722222222,3.842105263,3.85,4
magic3d,A small cactus inside a clay pot,8.777777778,8.238095238,7.705882353,8.263157895
magic3d,A black hat hanging on a brass hook,6.315789474,5.684210526,6.333333333,5.952380952
magic3d,A penguin is waddling with a fish in its beak,7.1,6.470588235,6.529411765,6.157894737
magic3d,A dog is barking at a cat with its tail wagging,6.944444444,6.095238095,5.529411765,6.105263158
magic3d,A dog is licking an ice cream cone with its tail wagging,6.052631579,4.888888889,5.4,5.095238095
magic3d,A violinist in a black suit is playing a violin while standing on one foot,6.388888889,5.714285714,5.941176471,5.684210526
magic3d,"A cyan crab is holding a sharp, conical shell in its claw",4.526315789,3.545454545,3.333333333,3.523809524
magic3d,A yellow truck is crashing into a wooden house,2.411764706,2.105263158,2.375,2
magic3d,A man holding a book next to a tall bookshelf,4.368421053,4.277777778,4.3,4.238095238
magic3d,"A turtle is crawling to a circular, white shell",5.578947368,6.555555556,6.578947368,6.35
magic3d,A brown dog is chewing a high-heeled shoe,6.166666667,5.285714286,5.588235294,5.263157895
magic3d,A panda is chewing on bamboo while sitting on its hind legs,5.857142857,4.8125,5.05,4.736842105
magic3d,A knight is polishing a shield while seated on a stool,6.470588235,4.894736842,4.75,4.842105263
magic3d,A dolphin is pushing a ball with its nose while swimming,7.388888889,7,6,6.789473684
magic3d,A bird is preening its feathers with its beak,3.705882353,3.526315789,4.3125,3.473684211
magic3d,A duck is chasing a yellow ball with its wings flapping,6.052631579,4.055555556,3.388888889,4.333333333
magic3d,A knight is jousting with a lance while riding a white horse,5.421052632,4.227272727,4.380952381,4.476190476
magic3d,"A cat is playing with a ball of yarn, unraveling it with its paws",2.222222222,1.947368421,1.75,1.65
magic3d,A pirate is digging for treasure with a rusty shovel,6.761904762,5.75,5.25,5.473684211
magic3d,A boy is kicking a soccer ball with his foot raised,7,4.5,5.523809524,5.333333333
magic3d,A black cat is knocking over a glass with its paw extended,5.263157895,4.5,3.894736842,4.4
magic3d,A bat is hanging upside down from a branch with its wings folded,4.944444444,5.238095238,5.058823529,4.578947368
magic3d,A bear astronaut is planting a flag with a paw print,4.666666667,4.047619048,3.705882353,3.842105263
magic3d,A crowned koala is inspecting a mystical golden staff,8.238095238,7,6.95,6.578947368
magic3d,A fox magician is pulling a rabbit from a hat,5.058823529,4.526315789,4.5625,4.526315789
magic3d,A giant tortoise is peacefully resting while a garden of mushrooms grows on its shell,5.842105263,5.055555556,4.736842105,5.05
